cod_lab,cod_georef,cod_escuela,espacio,escuela_o_departamento,nombre_de_laboratorio,actividad,sede ,direccion,telefono,telefono_lab,telefono_responsable,email,email,identificacion,cargo,oficina,celular,email_univalle,codigo_pruebas_y_ensayos,grupo_de_investigacion,categoria,categoria_docente,equipo_robusto,ano_de_fundacion,m2,capacidad_estudiantes,capacidad_maxima_estudiantes,hora_semana,pce,resolución_de_creación,notas,personal 
10022,x,x,N/A," BACTERIOLOGIAY 
LABORATORIO CLINICO",Rotación Bioquimica,DOCENCIA (PREGRADO),SEDE SAN FERNADO,Calle 4B N° 36-16,,,,,nhora.cardenas@correounivalle.edu.co,,,,,ofelia.florez@correounivalle.edu.co,"Laboratorio para las prácticas de diagnóstico químico clínico. SE manejan muestras de sangre total, suero, plasma, liquidos especiales (LCR, pleural, etc)",,,,,,,,,,"29,7%",Resolución No. 151,,
10023,x,x,N/A," BACTERIOLOGIAY 
LABORATORIO CLINICO",Práctica Múltiples: Alirio Sardi,DOCENCIA (PREGRADO),SEDE SAN FERNADO,Calle 4B N° 36-17,,,,,nhora.cardenas@correounivalle.edu.co,,,,,victor.duenas@correounivalle.edu.co,"Laboratiro para practicas de diferentes áreas, hematología, bioquímica y bacteriología.",,,,,,,,,,"42,2%",Resolución No. 151,,
10024,x,x,N/A,MEDICINA,Endocrinología,EXTENSIÓN,HUV,Calle 5 No. 36 - 08,,,,,", delpilars@yahoo.com.",,,,,endocrinounivalle@gmail.com,Análisis endocrinos especializados,,,,,,,,,,,Resolución No. 151,,Si (2)
10025,x,x,N/A,MEDICINA,Técnicas Quirurgicas,DOCENCIA,SEDE SAN FERNADO,Calle 4B N° 36-17,,,,,", ricardo.malaver@correounivalle.edu.co",,,,,cirugia.general@correounivalle.edu.co,Laboratorio como modelos o prototipos que permiten el ensayo de técnicas de microcirugia o rehabilitación cardiáca.,,,,,,,,,,"10,8%",NO TIENE,,Si (1)
10026,x,x,N/A,MEDICINA,Habilidades y Destrezas,DOCENCIA,SEDE SAN FERNADO,Calle 4B N° 36-18,,,,,,,,,,lab.habilidades@gmail.com,Laboratorio como modelos o prototipos que permiten el ensayo de técnicas de microcirugia o rehabilitación cardiáca.,,,,,,,,,,,Resolución No. 151,,Si (1)
10027,x,x,N/A,MEDICINA,Hematología,EXTENSIÓN,HUV,Calle 5 No. 36 - 08,,,,,laboratorio.hematologia@correounivalle.edu.co,,,,,ximena.varona@correounivalle.edu.co,Laboratiro clínico especializado en pruebas de diagnostico de leucemias y evaluacion de tratamiento.,,,,,,,,,,"45,2%",Resolución No. 151,,Si (2)
10028,x,x,N/A,MEDICINA,Perinatología,EXTENSIÓN,HUV,Calle 5 No. 36 - 09,,,,,luzmaria.jaramillo@hotmail.com ginecobstetricia@correounivalle.edu.co,,,,,luz.jaramillo@correounivalle.edu.co,Laboratorio clínico especializado encargado de realizar pruebas para el estudio y control de embarazos.,,,,,,,,,,"13,7%",NO TIENE,,No
10029,x,x,N/A,ODONTOLOGIA,Procesos en prótesis dentales,DOCENCIA Y EXTENSIÓN,SEDE SAN FERNADO,Calle 4B N° 36-18,,,,,"; jhonathan.guerrero@correounivalle.edu.co, hectoredu88@gmail.com,",,,,,odontologia@correounivalle.edu.co,Modelos mecanimos para protesis odontológicas,,,,,,,,,,"20,7%",Resolución No. 151,,No
10030,x,x,N/A,ODONTOLOGIA,Procesos en prótesis dentales,DOCENCIA Y EXTENSIÓN,SEDE SAN FERNADO,Calle 4B N° 36-18,,,,,"; jhonathan.guerrero@correounivalle.edu.co,hectoredu88@gmail.com,",,,,,odontologia@correounivalle.edu.co,Modelos mecanimos para protesis odontológicas,,,,,,,,,,"20,7%",Resolución No. 151,,No
10031,x,x,N/A,ODONTOLOGIA,Obtención y análisis de imágenes,EXTENSIÓN E INVESTIGACIÓN,SEDE SAN FERNADO,Calle 4B N° 36-19,,,,,sebastianmedina.c@gmail.com,,,,,odontologia@correounivalle.edu.co,Laboratorio para placas radiológicas en odontología,,,,,,,,,,"9,0%",Resolución No. 151,,No
10032,x,x,N/A,ODONTOLOGIA,Radiología,DOCENCIA Y EXTENSIÓN,SEDE SAN FERNADO,Calle 4B N° 36-20,,,,,,,,,,docente: gusinis52@hotmail.com jesus.calero@correounivalle.edu.co elizabeth.dorado@correounivalle.edu.co,Toma de radiografías y análisis de imágenes radiológicas.,,,,,,,,,,"1,7%",NO TIENE,,No
10033,x,x,N/A,ODONTOLOGIA,Simulación,DOCENCIA,SEDE SAN FERNADO,Calle 4B N° 36-21,,,,,,,,,,anaferjaimon@gmail.com,Laboratorio con modelos mecánicos para simulación de trabajo oral.,,,,,,,,,,"2,5%",NO TIENE,,No
10034,x,x,N/A,ODONTOLOGIA,Yesos,DOCENCIA,SEDE SAN FERNADO,Calle 4B N° 36-22,,,,,hectoredu88@gmail.com,,,,,,"Laboratorio para trabajo manual de mecánica dental (pulimiento de piezas dentales, recubrimientos, etc.)",,,,,,,,,,"2,5%",NO TIENE,,No
10035,x,x,N/A,ODONTOLOGIA,Yesos,DOCENCIA,SEDE SAN FERNADO,Calle 4B N° 36-22,,,,,,,,,,hectoredu88@gmail.com,"Laboratorio para trabajo manual de mecánica dental (pulimiento de piezas dentales, recubrimientos, etc.)",,,,,,,,,,"2,5%",NO TIENE,,No
10036,x,x,N/A,ODONTOLOGIA,Preclínica,DOCENCIA,SEDE SAN FERNADO,Calle 4B N° 36-23,,,,,,,,,,anaferjaimon@gmail.com,Laboratorio para enseñar a los estudiantes sobre generalidades de las práctica clínicas.,,,,,,,,,,"1,7%",NO TIENE,,No
10037,x,x,N/A,REHABILITACION HUMANA,Tecnología de Asistencia,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",SEDE SAN FERNADO,Calle 4B N° 36-24,,,,,"serh@correounivalle.edu.co, patricia.murillo@correounivalle.edu.co, satizabalm@gmail.com, gloria.arango@correounivalle.edu.co,maritza.pinzón@correounivalle.edu.co natalia.ramirez.quintero@gmail.com",,,,,,Diseño y evaluacion de modelos mecánicos de apoyo a la rehabilitación.,,,,,,,,,,"17,8%",Resolución No. 151,,No
10038,x,x,N/A,REHABILITACION HUMANA,Audiología,DOCENCIA Y EXTENSIÓN,SEDE SAN FERNADO,Calle 4B N° 36-25,,,,,"serh@correounivalle.edu.co, lagonsa5@gmail.co",,,,,laura.gonzales@correounivalle.edu.co,"Laboratorio de diagnóstico audiométrico. Audiología Básica, Laboratorio de Infancia, Laboratorio de Escolares, laboratorio en Adultos, Práctica Profesional I, Práctica Profesional II.",,,,,,,,,,"25,7%",Resolución No. 151,,No
10039,x,x,N/A,REHABILITACION HUMANA,Juego,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",SEDE SAN FERNADO,Calle 4B N° 36-26,,,,,jaqueline.cruz@correounivalle.edu.co   monicareyesro@yahoo.com,,,,,monica.reyes@correounivalle.edu.co,Laboratorio de estimulación física,,,,,,,,,,,Resolución No. 151,,No
10040,x,x,N/A,REHABILITACION HUMANA,Habla y Voz,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",SEDE SAN FERNADO,Calle 4B N° 36-27,,,,,rosa.mora@correounivalle.edu.co espsastoque@yahoo.com alejo.rodca@gmail.com,,,,,,En el laboratorio se graban muestras de la voz o del habla de los pacientes para análisis y para usarla como herramienta de observación de rehabilitación.,,,,,,,,,,"8,2%",Resolución No. 151,,No
10041,x,x,N/A,REHABILITACION HUMANA,Análisis de movimiento y actividad física,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",SEDE SAN FERNADO,Calle 4B N° 36-28,,,,,,,,,,lessby.gomez@correounivalle.edu.co,Laboratorio de estudio y observación de marcha y ejercicio físico.,,,,,,,,,,"19,6%",Resolución No. 151,,No
10042,x,x,N/A,REHABILITACION HUMANA,Laboratorio comunicación y lenguaje,DOCENCIA Y EXTENSIÓN,SEDE SAN FERNADO,Calle 4B N° 36-29,,,,,delia.serpa@correounivalle.edu.co,,,,,maria.naranjo@correounivalle.edu.co,Laboratorio donde se realizan terapias de lenguaje.,,,,,,,,,,,NO TIENE,En proceso de oficialización,No
10043,x,x,N/A,REHABILITACION HUMANA,Equipos y ayudas de fisioterapia,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",SEDE SAN FERNADO,Calle 4B N° 36-30,,,,,,,,,,delia.serpa@correounivalle.edu.co,Laboratorio de rehabilitación física,,,,,,,,,,"22,0%",Resolución No. 151,,No
10044,x,x,N/A,"VICEDECANATURA DE INVESTIGACION
FACULTAD DE SALUD",Bioterio,EXTENSIÓN,SEDE SAN FERNADO,Calle 4B N° 36-31,,,,,", yesid.solarte@correounivalle.edu.co, hidalgoibarra@yahoo.es, sirsa.hidalgo@correounivalle.edu.co",,,,,investigasalud@correounivalle.edu.co,Apoyo a todos los ensayos con biomodelos experimentales.,,,,,,,,,,"35,2%",Resolución No. 151,Ganador de convocatoria 001,Si (3)
10045,x,x,N/A,SALUD PUBLICA,Salud ocupacional,DOCENCIA,SEDE SAN FERNADO,Calle 4B N° 36-32,,,,,,,,,,fabian.mendez@correounivalle.edu.co,Laboratorio para realizar estudios ,,,,,,,,,,,NO TIENE,,No
10046,x,x,N/A,ESCUELA DE ENFERMERIA,Habilidades y Destrezas en Enfermería,DOCENCIA,SEDE SAN FERNADO,Calle 4B N° 36-33,,,,,yamicamo@hotmail.com,,,,,,Laboratorio con modelos o prototipos que permiten el ensayo de técnicas de enfermería.,,,,,,,,,,,NO TIENE,,No
3001,320,320,4007,DEPARTAMENTO DE QUIMICA,Laboratorio de Análisis Industriales,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jaime.restrepo@correounivalle.edu.co,"Se realiza análisis de: muestras ambientales. Alcholes y licores, aleaciones, alimentos, muestras biologicas, derivados del petroleo, productos cosmeticos, productos farmaceuticos, productos veterinarios, productos agricolas, productos de limpieza, productos industriales, minerales por diferentes técnicas. Ventas de soluciones, alquiler de equipos, capacitaciones y taller de soplado de vidrio.",,,,,2005,"242,17",12,20,40,"34,88%",Ganador de convocatoria 001,76,Si (6)
3002,320,320,3004,DEPARTAMENTO DE QUIMICA,Biocatalisis y Biotransformaciones,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,laboratorio.biocatalisis@correounivalle.edu.co,"Investigación en el área de la biocatálisis y las biotransformaciones dentro del contexto de la química sostenible.
se encarga de desarrollar la linea investigativa en el área de Biocatálisis y Procesos Fermentativos del Grupo de Investigación en Ingeniería de Procesos Agroalimentarios y Biotecnológicos (GIPAB).",,,,,2013,"45,49",2,4,40,"37,00%",Ganador de convocatoria 001,76,estudiantes
3003,320,320,4022,DEPARTAMENTO DE QUIMICA,Grupo de Investigación en contaminación ambiental por metales pesados y plaguicidas (GICAMP),INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,investigación.gicamp@correounivalle.edu.co,,,,,martha.paez@correounivalle.edu.co,"Análisis de residuos plaguicidas, PCBS, metales pesados, suelos, agua y aire. Preparacion de nanoparticulas como captadores de plaguicidas",GRUPO DE INVESTIGACION DE LA CONTAMINACION AMBIENTAL POR METALES Y PLAGUICIDAS (GICAMP),B,Investigador Asociado (I),"TRAMPA IONICA MODELO ITQ700 $95'222,910 
 CAMBIADOR DE MUESTRAS $101'812,984",1996,"40,32",8,10,50,"49,00%",Ganador de convocatoria 001,76,estudiantes
3004,320,320,4009,DEPARTAMENTO DE QUIMICA,Laboratorio de Productos Naturales y Alimentos (GIPNA),INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,laboratorio.gipna@correounivalle.edu.co,,,,,ana.colmenares@correounivalle.edu.co,"En el Laboratorio de Productos Naturales y Alimentos se realiza toda la parte experimental de las diferentes investigaciones de los estudiantes de Maestría y Doctorado, que trabajan en la línea de plantas aromáticas y condimentarias, hongos comestibles y fitotóxicos, en la línea de alimentos o en cadenas productivas, y presta apoyo a estudiantes de investigación de otros grupos de la Universidad del Valle que lo solicitan.",GIPNA,C ,Investigador Asociado (I),,1969,"63,36",7,12,50,"85,00%",Ganador de convocatoria 001,76,estudiantes
3005,320,320,1008,DEPARTAMENTO DE QUIMICA,Laboratorio de Investigación en Ciencias con Aplicaciones Tecnológicas y Bioinorgánicas,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,manuel.palencia@correounivalle.edu.co,"El laboratorio permite que estudiantes
de posgrado (maestría y doctorado) puedan realizar sus investigaciones dentro del grupo.",,,,,2011,,,,,"10,59%",Ganador de convocatoria 001,76,estudiantes
3006,320,320,4008,DEPARTAMENTO DE QUIMICA,Laboratorio de investigación en Química Ambiental,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,luis.benitez@correounivalle.edu.co,"En el laboratorio GICAT se realiza parte experimental de investigacion encaminadaa la solucion de problemas ambientales, principalmente en aguas.
Sintesis quimica y caracterización de los productos obtenidos. Aplicaciones fotocataliticas utilizando simulador solar o luz solar directa.",GRUPO DE INVESTIGACION EN CIENCIAS CON APLICACIONES TECNOLOGICAS (GI-CAT),C,Investigador Senior (IS),,2001,48,5,7,50,"29,22%",Ganador de convocatoria 001,76,estudiantes
3007,320,320,4024,DEPARTAMENTO DE QUIMICA,Laboratorio de investigación de Electroquímica,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,fernando.larmat@correounivalle.edu.co,"Investigación en sensores electroquímicos y biosensores para el análisis de moléculas de interés biológico. Apoya la docencia a nivel de posgrado para la realización de diferentes practicas de laboratorio en los cursos de Introducción a las nanociencias y química de superficies.
Nuestro grupo ha identificado cinco líneas principales de investigación: 1) Diseño y construcción de sensores para moléculas de interés biológico y ambiental. 2) Uso de nuevos materiales  con conductividad iónica y  electrónica para procesos electrocatalíticos y como materiales de electrolíticos. 3) Uso de la electroquímica para remediación ambiental. 4) Aprovechamiento de la energía solar para aplicaciones de descontaminación ambiental. 5) Síntesis de materiales nanoestructurados con posibles aplicaciones electroquímicas y farmacológicas.",GRUPO DE ELECTROQUIMICA,C,,,1998,69,4,8,40,"29,46%",Ganador de convocatoria 001,76,estudiantes
3008,320,320,1007,DEPARTAMENTO DE QUIMICA,Laboratorio de Resonancia Magnética Nuclear,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,grupo.darmn@correounivalle.edu.co,,,,,julien.wist@correounivalle.edu.co,Análisis de muestras en estado solido y en solución.,,,,,,,4,,144,"77,10%",Ganador de convocatoria 001,76,estudiantes
3009,320,320,4021,DEPARTAMENTO DE QUIMICA,Grupo de Investigación SIMERQO Síntesis Orgánica,DOCENCIA E INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,luz.m.jaramillo@correounivalle.edu.co,"Las asignaturas que  se desarrollan en este  laboratorio están  relacionadas  fundamentalmente con actividades de investigación  sea  en  el programa de pregrado en Química  o de  los  programas  de postgrado (e.g.  Maestria  y Doctorado). Se realizan reacciones quimicas desalcoxicarbonilaciones, reacciones con carbaniones y reacciones que involucran la participacion de radicales libres. ",SINTESIS Y MECANISMOS DE REACCION EN QUIMICA ORGANICA,C,,,1988,36,6,7,50,"67,77%",Ganador de convocatoria 001,76,estudiantes
30010,320,320,1007,DEPARTAMENTO DE QUIMICA,Laboratorio de Biología Estructural y Perfiles  de metabolómica,EXTENSIÓN E INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,julien.wist@correounivalle.edu.co,Diseño de experimentos selectivos de RMN. Estudio de la relación entre estructura molecular y desplazamientos químicos en espectros de RMN.  Estudios de mezclas complejas por RMN.  Resonancia Magnetica Nuclear en Metabonómica aplicada a la Agroindustria.,,,,,,,,,,"77,10%",,76,estudiantes
30011,320,320,1007,DEPARTAMENTO DE QUIMICA,Laboratorio de Espectroscopia,"DOCENCIA, INVESTIGACIÓN Y EXTENSIÓN",MELÉNDEZ,Calle 13 No 100-00,3212100,,,,"lehurtado2002a@yahoo.es,",,,,,carlos.rodriguez.p@correounivalle.edu.co,"se realizan 3 tipos de actividades: 1.) apoyo a la investigacion de los grupos de investigacion del departamento de quimica, fisica, ingenieria de materiales e ingenieria quimica. 2.) docencia en los laboratorios de quimica organica, inorganica, instrumental e industrial. 3.) programa de extension a la industria y universidades del suroccidente colombiano. 
Manejo de equipos de RMN, GC - MS, UV Vis, FTIR, polarimetro, fluresencia y analisis elemental. Toma de muestras, interpretación de espectros, explicación a los estudiantes, realización de cuantificación e identificación de compuestos, asesoría a estudiantes y grupos de investigación. ",,,,,,80,20,20,45,"12,50%",,76,Si (2)
30012,320,320,1009,DEPARTAMENTO DE QUIMICA,Laboratorio de Investigación de Compuestos Heterocíclicos,INVESTIGACIÓN ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,braulio.insuasty@correounivalle.edu.co,"El grupo se dedica, especialmente, a la síntesis de nuevos compuestos 
heterocíclicos con posible actividad antitumoral, antibacterial, antifúngica, antiviral, antimalárica y antituberculosa. síntesis de materiales moleculares orgánicos foto- y electro-activos.",GRUPO DE INVESTIGACION DE COMPUESTOS HETEROCICLICOS, A UNO,Investigador Senior (IS),,1992,"130,75",17,24,50,"15,47%",,76,estudiantes
30013,320,320,1008,DEPARTAMENTO DE QUIMICA,Laboratorio de Química de Fracciones Pesadas LQFP,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,natalia.afanasjeva@correounivalle.edu.co,"Los proyectos realizados en el laboratorio han sido sobre los asfaltenos presentes en crudos Colombianos, tambien ha sido tema de investigación el Bagazo de caña y obtención de biocombustibles a partir de residuios de Café y actualmente se encuantra en investigación sobre membranas poliméricas para la retención de Boro y la electrodeposición de Vanadío y Níquel de crudos Colombianos. ",,,,,2009,"38,5",4,6,50,"5,83%",,76,estudiantes
30014,320,320,1010,DEPARTAMENTO DE QUIMICA,Laboratorio de Docencia Primer Piso,DOCENCIA ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,william.lizcano@correounivalle.edu.co,"Se dictan las siguientes asignaturas: laboratorio de Química General, laboratorio Química I y laboratorio de Química II.",,,,,,149,30,40,40,"53,20%",,76,Si (1)
30015,320,320,2003,DEPARTAMENTO DE QUIMICA,Laboratorio de Docencia Segundo Piso,DOCENCIA ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,william.lizcano@correounivalle.edu.co,"Laboratorios de: Química Orgánica General (116006M) Orgánica T.Q. (116063M), Orgánica I (116066M)     y II (116067M). Química Inorgánica General (116057M), Inorgánica I (116059M) y II (116060M).                                                                                                  Química Analítica (116024M). Química Analítica Gral. (116008M) y Química General (116050M).",,,,,,450,15,20,30,"57,04%",,76,Si (1)
30016,329,329,2097,DEPARTAMENTO DE QUIMICA,Laboratorio de Química Teórica y Computacional,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,jularce@gmail.com,,,,,julio.arce@correounivalle.edu.co,Investigación básica teórica y computacional en el área de estructura electrónica y dinámica química.,,,,,,,,,,No participa,,76,
30017,320,320,3002-3007-3009,DEPARTAMENTO DE QUIMICA,Laboratorio de Docencia Tercer Piso,DOCENCIA ,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,william.lizcano@correounivalle.edu.co,"Laboratorio de Bioquímica, Laboratorio de Análisis Orgánico, Laboratorio de Cinética, Laboratorio de Termodinámica, Laboratorio Análisis Instrumental, Laboratorio de Análisis Industrial, Laboratorio de Orgánica III.",,,,,,,15,45,56,"57,04%",,76,Si (1)
30018,320,320,3008,DEPARTAMENTO DE QUIMICA,Docencia en Bioquímica,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,godoy@correounivalle.edu.co,"Se realizan un total de 8 prácticas: 1) Aminoácidos y Proteínas I, 2) Aminoácidos y Proteínas II, 3) Cinética Enzimática, Fosfatasa ácida I, 4) Cinética Enzimática, Fosfatasa ácida II, 5) ADN, Extracción y Análisis, 6) Lípidos, 7) Metabolismo, 8) Una práctica donde se tratan los desecho acumulados.",,,,,2014,"10,8",5,5,4,"29,30%",,76,estudiantes
30019,320,320,4014,DEPARTAMENTO DE QUIMICA,Laboratorio de Bioinorgánica,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,investigacion.bioinorganica@correounivalle.edu.co,,,,,dorian.polo@correounivalle.edu.co,"Análisis de bioinórganica. Se realizan investigaciones en el área de la química inorgánica con un enfoque biológico. Se investiga la síntesis, caracterización y evaluación de la actividad biológica mediante diversos ensayos de compuestos inorgánicos con metales lantánidos.",,,,,2010,22,8,8,40,"24,49%",,76,estudiantes
30020,320,320,4017,DEPARTAMENTO DE QUIMICA,Laboratorio de Cristalografía,DOCENCIA E INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,rodimo26@yahoo.es,,,,,laboratorio.gcris@correounivalle.edu.co,Trabajo en la sintesis de pequeñas moleculas con diversas propiedades cristalinas. ,,,,,1992,,,8,40,"15,42%",,76,estudiantes
30021,320,320,4023,DEPARTAMENTO DE QUIMICA,Laboratorio de Separaciones Analíticas (SANDOLAB),INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,junior.sandoval@correounivalle.edu.co,"Investigación básica y aplicada en el desarrollo de nuevos materiales de separación que, por su selectividad y estabilidad, permitan contribuir al entendimiento de los fenómenos y mecanismos físicoquímicos involucrados en una variedad de micro-separaciones analíticas.
- Preacondicionamiento de superficies de sílica para CE.
- Etching y leaching de la pared interna de capilares para mejorar precisión. Ha formado un estudiante de maestría.
- Películas hidrofílicas para CE.
-Recubrimientos hidrofílicos con propiedades de selectividad y estabilidad útiles para separaciones analíticas de proteínas.
- Análisis de lípidos por CE. 
- Caracterización de la composición lipídica de materiales de origen biológico mediante medio no-acuoso con metalomicelas que involucran quelación con metales de transición.",,,,,,"39,42",4,4,15,"19,51%",,76,estudiantes
30022,320,320,4025,DEPARTAMENTO DE QUIMICA,Laboratorio de Polímeros,DOCENCIA E INVESTIGACIÓN (MODIFICADO),MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,hector.zuluaga@correounivalle.edu.co,"En este laboratorio se desarrollan actividades de apoyo a: trabajo de grado, tesis maestria y doctorado, laboratorio de  Organica III. Sintesis de materiales polimericos. Desarrollo de química supramolecular.",,,,,2000,65,8,8,60,"11,00%",,76,estudiantes
30023,320,320,4028,DEPARTAMENTO DE QUIMICA,Laboratorio de Investigación en Catálisis,INVESTIGACIÓN (MODIFICADO),MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,julian.urresta@correounivalle.edu.co,"Sintesis de catalizadores ácidos mesoporosos de tipo ceolitas pára la obtencion de aditivos oxigenados. 
El interés principal del LICAP está dirigido por una parte hacia el desarrollo de procesos catalíticos con base en la posibilidad de aplicación industrial y en la utilización de los recursos del país, a la asesoría a la industria local para la selección, caracterización y uso de catalizadores.  Así como el desarrollo, evaluación y especificación de equipos en procesos industriales.",,,,,2005,"42,4",6,10,84,"18,73%",,76,estudiantes
30024,320,320,4029,DEPARTAMENTO DE QUIMICA,Laboratorio de Electroquímica Aplicada y Superficies,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,william.lizcano@correounivalle.edu.co,"Síntesis de nanopartículas híbridas que se emplean para la detección de diferentes analitos. Celdas de biocombustible, biosensores electroquímicos y nanopartículas híbridas. Investigación en biosensores, sensores serigrafiados, celdas de biocombustible y catalisis heterogenea. Síntesis y aplicación de nanomateriales.",,,,,,50,5,10,40,"3,33%",,76,estudiantes
30025,320,320,4012,DEPARTAMENTO DE QUIMICA,Grupo de Investigación en Síntesis Organometálica y Catálisis (GISIOMCA),INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,investigacion.gisiomca@correounivalle.edu.co,,,,,esperanza.galarza@correounivalle.edu.co,"En el marco de los cursos de postgrado  está el curso de organometáica de los metales de transición. Síntesis, estudios fotofísicos y aplicaciones catalíticas de compuestos organometálicos mono y trimetálicos. Monocapas autoensambladas y detección de iones metálicos.",,,,,,"29,3",4,5,48,"15,29%",,76,estudiantes
30026,320,320,4013,DEPARTAMENTO DE QUIMICA,Laboratorio de investigación y análisis de alimentos,DOCENCIA INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,jaime.restrepo@correounivalle.edu.co,"El laboratorio tiene un amplio espectro de trabajo en investigación en alimentos, del cual se derivan diferentes proyectos, los cuales sirven como base para el desarrollo de tesis doctorales. Investigacion con alimentos para determinar sus propiedades como actividad antioxidante, entre otras.",,,,,1986,"24,5",5,6,40,"18,92%",,76,estudiantes
30027,x,x,no se encontro en visita de campo,DEPARTAMENTO DE QUIMICA,Laboratorio de Química Organometálica y Catálisis,INVESTIGACIÓN,MELÉNDEZ,Calle 13 No 100-00,3212100,,,,,,,,,alberto.bolanos@correounivalle.edu.co,El laboratorio realiza síntesis de nuevos complejos organometálicos para su evaluación como catalizadores homogeneos para reacciones de interés industrial.,,,,,2005,22,8,8,40,"15,29%",,76,estudiantes
30028,320,320,"1012-
1013-
1014 A-
1014 B -
1014 C",DEPARTAMENTO DE FISICA,Laboratorio de Docencia en Física primer piso,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,"3307627
3394610",,,,,,,,jesus.tabares@correounivalle.edu.co,"El laboratorio realiza prácticas académicas en asignaturas de: Experimentación física III, Física fundamental IV, Fundamentos de física III, Experimentos de física I, Fundamentos de física I, Física general para biológos, Física para ciencias de la salud, Física general I, Biofísica. Física fundamental I, Física fundamental II.",,,,,,450,21,105,60,"12,00%",,76,Si (1)
30029,320,320,2010,DEPARTAMENTO DE FISICA,Laboratorio de Docencia en Física segundo piso,DOCENCIA,MELÉNDEZ,Calle 13 No 100-00,3212100,"3307627
3394611",,,roman.herrera@correounivalle.edu.co,,,,,maria.gomez@correounivalle.edu.co,"El laboratorio realiza prácticas académicas en asignaturas de: Circuitos; electrónica analógica, electrónica digital;  practicas de electromagnetismo en asignaturas experimentación física II, física fundamental III, Fundamentos de Física II, Experimentos de Física II; Física Geneal II;  Laboratorio de óptica; Salón de demostraciones de física",,,,,,484,21,21,45,"22,70%",,76,Si (1)
30030,320,320,1026,DEPARTAMENTO DE FISICA,Centro de Excelencia en Nuevos Materiales - CENM,EXTENSIÓN (MODIFICADO),MELÉNDEZ,Calle 13 No 100-00,3212100,3153564,,,,,,,,pedro.prieto@correounivalle.edu.co,"El trabajo de investigación en el CENM ha estado organizado alrededor de 4 Temas de Investigación Interdisciplinaria (TII). Los Temas de Investigación son: Recubrimientos Avanzados, Materiales Compuestos, Nanomagnetismo, Dispositivos de Estado Sólido, Sensores, y Sistemas Mesoscópicos.     ",,,,,2004,,2,10,48,"87,30%",Ganador de convocatoria 001,76,Si (3)
